# ELLPROF results for ngc2403
# Galaxy mass: 2.667384e+09Msun
# Galaxy distance: 3.200000 Mpc
#
#
# Map units: unit = JY*KM/S
# Pixel area: 256.000000 arcs2
#
# Columns 2-6  : ring stats (sum, mean, median, standard deviation and median absolute deviation from the median).
# Column  7    : number of pixels within the ring.
# Columns 8-10 : surface density, its error and face-on surface density (inclination corrected).
# Columns 11-12: face-on (inclination corrected) mass surface densities with two different techniques.
#
#    RADIUS         SUM        MEAN      MEDIAN      STDDEV         MAD   NPIX     SURFDENS       ERR_SD  SURFDENS_FO   MSURFDENS  MSURFDENS2 
#    arcsec        unit        unit        unit        unit        unit      #   unit/arcs2   unit/arcs2   unit/arcs2    Msun/pc2    Msun/pc2 
#
     15.000   1.770e+00   3.539e-01   3.513e-01   5.424e-03   2.134e-03      5    1.383e-03    2.119e-05    6.913e-04   7.010e+00   6.888e+00 
     45.000   5.916e+00   3.585e-01   3.578e-01   1.064e-02   6.692e-03     16    1.401e-03    4.155e-05    7.003e-04   7.101e+00   6.978e+00 
     75.000   1.003e+01   3.581e-01   3.639e-01   2.208e-02   1.425e-02     28    1.399e-03    8.624e-05    6.994e-04   7.092e+00   6.969e+00 
    105.000   1.307e+01   3.580e-01   3.535e-01   3.196e-02   2.309e-02     36    1.399e-03    1.248e-04    6.993e-04   7.091e+00   6.968e+00 
    135.000   1.823e+01   3.760e-01   3.645e-01   5.098e-02   4.146e-02     48    1.469e-03    1.991e-04    7.343e-04   7.446e+00   7.317e+00 
    165.000   2.496e+01   4.026e-01   3.975e-01   6.943e-02   5.129e-02     62    1.573e-03    2.712e-04    7.864e-04   7.975e+00   7.836e+00 
    195.000   3.073e+01   4.210e-01   4.216e-01   8.323e-02   6.463e-02     73    1.644e-03    3.251e-04    8.222e-04   8.338e+00   8.193e+00 
    225.000   3.457e+01   4.268e-01   4.358e-01   8.198e-02   6.177e-02     81    1.667e-03    3.202e-04    8.336e-04   8.453e+00   8.306e+00 
    255.000   3.918e+01   4.146e-01   4.163e-01   6.862e-02   5.156e-02     94    1.620e-03    2.680e-04    8.099e-04   8.212e+00   8.070e+00 
    285.000   4.091e+01   3.842e-01   3.871e-01   5.710e-02   3.690e-02    106    1.501e-03    2.231e-04    7.503e-04   7.609e+00   7.477e+00 
    315.000   3.999e+01   3.462e-01   3.449e-01   6.111e-02   3.385e-02    115    1.352e-03    2.387e-04    6.762e-04   6.857e+00   6.738e+00 
    345.000   3.963e+01   3.158e-01   3.159e-01   7.318e-02   3.715e-02    125    1.234e-03    2.859e-04    6.168e-04   6.255e+00   6.146e+00 
    375.000   4.075e+01   2.911e-01   2.890e-01   7.506e-02   4.709e-02    140    1.137e-03    2.932e-04    5.685e-04   5.765e+00   5.665e+00 
    405.000   4.050e+01   2.755e-01   2.690e-01   6.678e-02   4.201e-02    147    1.076e-03    2.609e-04    5.381e-04   5.457e+00   5.362e+00 
    435.000   4.312e+01   2.686e-01   2.679e-01   5.791e-02   3.407e-02    160    1.049e-03    2.262e-04    5.247e-04   5.321e+00   5.228e+00 
    465.000   4.466e+01   2.589e-01   2.626e-01   5.252e-02   3.099e-02    172    1.011e-03    2.051e-04    5.056e-04   5.127e+00   5.038e+00 
    495.000   4.429e+01   2.440e-01   2.532e-01   5.022e-02   2.820e-02    181    9.532e-04    1.962e-04    4.766e-04   4.833e+00   4.749e+00 
    525.000   4.446e+01   2.280e-01   2.372e-01   4.681e-02   3.007e-02    195    8.906e-04    1.829e-04    4.453e-04   4.516e+00   4.437e+00 
    555.000   4.320e+01   2.113e-01   2.152e-01   4.569e-02   3.725e-02    204    8.252e-04    1.785e-04    4.126e-04   4.184e+00   4.112e+00 
    585.000   4.174e+01   1.964e-01   1.949e-01   4.293e-02   3.422e-02    212    7.672e-04    1.677e-04    3.836e-04   3.890e+00   3.822e+00 
    615.000   4.099e+01   1.794e-01   1.799e-01   4.069e-02   3.404e-02    228    7.008e-04    1.589e-04    3.504e-04   3.553e+00   3.491e+00 
    645.000   3.916e+01   1.659e-01   1.674e-01   3.947e-02   3.385e-02    236    6.481e-04    1.542e-04    3.241e-04   3.286e+00   3.229e+00 
    675.000   3.815e+01   1.523e-01   1.563e-01   3.864e-02   3.118e-02    250    5.948e-04    1.509e-04    2.974e-04   3.016e+00   2.964e+00 
    705.000   3.590e+01   1.389e-01   1.414e-01   3.948e-02   3.038e-02    258    5.426e-04    1.542e-04    2.713e-04   2.751e+00   2.703e+00 
    735.000   3.329e+01   1.242e-01   1.180e-01   3.930e-02   2.883e-02    268    4.853e-04    1.535e-04    2.426e-04   2.461e+00   2.418e+00 
    765.000   3.139e+01   1.107e-01   9.903e-02   3.757e-02   2.191e-02    283    4.325e-04    1.467e-04    2.163e-04   2.193e+00   2.155e+00 
    795.000   2.890e+01   9.780e-02   9.043e-02   3.367e-02   2.126e-02    295    3.820e-04    1.315e-04    1.910e-04   1.937e+00   1.903e+00 
    825.000   2.616e+01   8.661e-02   7.842e-02   3.148e-02   2.163e-02    302    3.383e-04    1.230e-04    1.692e-04   1.715e+00   1.686e+00 
    855.000   2.420e+01   7.635e-02   6.915e-02   3.183e-02   2.220e-02    317    2.982e-04    1.243e-04    1.491e-04   1.512e+00   1.486e+00 
    885.000   2.196e+01   6.766e-02   6.050e-02   3.220e-02   2.061e-02    324    2.643e-04    1.258e-04    1.322e-04   1.340e+00   1.317e+00 
    915.000   2.029e+01   5.940e-02   4.787e-02   3.137e-02   1.589e-02    341    2.320e-04    1.225e-04    1.160e-04   1.176e+00   1.156e+00 
    945.000   1.849e+01   5.299e-02   4.353e-02   3.044e-02   1.597e-02    349    2.070e-04    1.189e-04    1.035e-04   1.050e+00   1.031e+00 
    975.000   1.639e+01   4.623e-02   3.844e-02   2.815e-02   1.572e-02    354    1.806e-04    1.100e-04    9.030e-05   9.157e-01   8.998e-01 
   1005.000   1.439e+01   3.910e-02   3.014e-02   2.459e-02   1.202e-02    368    1.527e-04    9.606e-05    7.636e-05   7.743e-01   7.609e-01 
   1035.000   1.272e+01   3.361e-02   2.619e-02   2.089e-02   1.024e-02    378    1.313e-04    8.161e-05    6.565e-05   6.657e-01   6.542e-01 
   1065.000   1.128e+01   2.896e-02   2.364e-02   1.753e-02   9.170e-03    389    1.131e-04    6.849e-05    5.657e-05   5.737e-01   5.637e-01 
   1095.000   9.894e+00   2.440e-02   2.128e-02   1.457e-02   8.773e-03    405    9.531e-05    5.690e-05    4.766e-05   4.833e-01   4.749e-01 
   1125.000   8.464e+00   2.037e-02   1.750e-02   1.201e-02   7.598e-03    415    7.958e-05    4.691e-05    3.979e-05   4.035e-01   3.965e-01 
   1155.000   7.288e+00   1.713e-02   1.371e-02   9.946e-03   5.808e-03    425    6.690e-05    3.885e-05    3.345e-05   3.392e-01   3.333e-01 
   1185.000   6.202e+00   1.427e-02   1.128e-02   8.632e-03   4.917e-03    434    5.576e-05    3.372e-05    2.788e-05   2.827e-01   2.778e-01 
   1215.000   5.288e+00   1.188e-02   9.761e-03   8.188e-03   4.838e-03    445    4.642e-05    3.199e-05    2.321e-05   2.353e-01   2.313e-01 
